(0.2494, 0.1638)
(0.2548, 0.1603)
(0.2529, 0.1570)
(0.2584, 0.1552)
(0.2576, 0.1566)
(0.2592, 0.1555)
(0.2652, 0.1563)
(0.2741, 0.1568)
(0.3010, 0.1596)
(0.3365, 0.1635)
(0.2933, 0.1659)
(0.2953, 0.1689)
(0.2550, 0.1556)
(0.2518, 0.1536)
(0.2443, 0.1560)
(0.2449, 0.1428)
(0.2680, 0.1450)
(0.2693, 0.1468)
(0.2620, 0.1460)
(0.2826, 0.1504)
(0.3128, 0.1585)
(0.3339, 0.1580)
(0.3333, 0.1567)
(0.3320, 0.1538)
(0.3126, 0.1453)
(0.2577, 0.1394)
(0.2321, 0.1369)
(0.2398, 0.1342)
(0.2613, 0.1380)
(0.2737, 0.1402)
(0.2777, 0.1403)
(0.2803, 0.1370)
(0.2796, 0.1396)
(0.2772, 0.1380)
(0.2762, 0.1354)
(0.2783, 0.1315)
(0.2801, 0.1317)
(0.2808, 0.1321)
(0.2813, 0.1306)
(0.2834, 0.1302)
(0.2847, 0.1283)
(0.2848, 0.1267)
(0.2835, 0.1268)
(0.2807, 0.1200)
(0.2726, 0.1205)
(0.2695, 0.1163)
(0.2722, 0.1176)
(0.2423, 0.0836)
(0.1595, 0.0073)
(0.1364, -0.0076)
(0.1284, -0.0136)
(0.1164, -0.0061)
(0.1188, -0.0079)
(0.1182, -0.0208)
(0.1237, -0.0153)
(0.1209, -0.0212)
(0.0253, -0.0100)
(-0.0344, -0.0004)
(-0.0401, -0.0001)
(-0.0203, -0.0057)
(0.0111, -0.0101)
(0.0210, -0.0124)
(0.0215, -0.0119)
(0.0257, -0.0127)
(0.0278, -0.0124)
(0.0721, 0.0488)
(0.0783, 0.2692)
(0.0816, 0.2770)
(0.0993, 0.2673)
(0.0573, 0.2968)
(-0.0266, 0.3194)
(-0.0160, 0.3244)
(-0.0327, 0.3354)
(-0.0276, 0.3278)
(-0.0285, 0.3249)
(-0.0352, 0.3293)
(-0.0335, 0.3267)
(-0.0045, 0.3161)
(-0.0005, 0.3165)
(-0.0021, 0.3174)
(-0.0012, 0.3176)
(0.0012, 0.3164)
(0.0067, 0.3145)
(0.0131, 0.3137)
(0.0153, 0.3167)
(0.0175, 0.3188)
(0.0209, 0.3180)
(0.0068, 0.3334)
(0.0012, 0.3304)
(0.0239, 0.3235)
(0.0419, 0.3155)
(0.0470, 0.3171)
(0.0299, 0.3196)
(0.0229, 0.3192)
(0.0097, 0.3202)
(-0.0044, 0.3221)
(-0.0058, 0.3193)
(0.0018, 0.3222)
(0.0071, 0.3182)
(0.0116, 0.3178)
(-0.0163, 0.3175)
(0.0513, 0.0910)
(-0.1219, -0.0704)
(-0.1520, -0.1788)
(-0.1976, -0.3334)
(-0.1507, -0.4279)
(-0.1604, -0.4365)
(-0.1751, -0.4672)
(-0.0664, -0.4506)
(-0.0765, -0.4519)
(-0.0766, -0.4422)
(-0.0798, -0.4510)
(-0.0786, -0.4456)
(-0.0761, -0.4439)
(-0.0773, -0.4454)
(-0.0740, -0.4454)
(-0.0713, -0.4455)
(-0.0717, -0.4450)
(-0.0738, -0.4478)
(-0.0746, -0.4477)
(-0.0747, -0.4475)
(-0.0758, -0.4484)
(-0.0802, -0.4485)
(-0.0816, -0.4466)
(-0.0835, -0.4442)
(-0.0810, -0.4456)
(-0.0793, -0.4452)
(-0.0797, -0.4414)
(-0.0814, -0.4440)
(-0.0825, -0.4453)
(-0.0824, -0.4452)
(-0.0795, -0.4443)
(-0.0822, -0.4438)
