word,x,y,z
BALANCE,-0.1708934,-0.5679898,1.565996
BALANCE,-0.1776404,-0.554146,1.577258
BALANCE,-0.174925,-0.550783,1.588168
BALANCE,-0.1766597,-0.5288382,1.599336
BALANCE,-0.1320315,-0.5053858,1.610458
BALANCE,-0.185756,-0.3730883,1.621526
BALANCE,-0.2507393,0.07360787,1.632697
BALANCE,-0.3449181,0.3203275,1.643648
BALANCE,-0.327848,0.5272049,1.654871
BALANCE,-0.2816961,0.4740225,1.666304
BALANCE,-0.2642232,0.5010579,1.6771
BALANCE,-0.2499908,0.4493294,1.688697
BALANCE,-0.2761861,0.4673697,1.699463
BALANCE,-0.2434055,0.4612505,1.710435
BALANCE,-0.246076,0.4634497,1.721458
BALANCE,-0.2586208,0.4674786,1.732484
BALANCE,-0.2493556,0.4697777,1.74379
BALANCE,-0.2654174,0.474191,1.755046
BALANCE,-0.2931058,0.4754362,1.765892
BALANCE,-0.3059147,0.4737693,1.777231
BALANCE,-0.3024629,0.4762499,1.788495
BALANCE,-0.3015227,0.4775569,1.799326
BALANCE,-0.3169654,0.4796711,1.810655
BALANCE,-0.3234828,0.4824579,1.821499
BALANCE,-0.3316751,0.4856828,1.83246
BALANCE,-0.3293233,0.4885445,1.843938
BALANCE,-0.3313779,0.4881585,1.855103
BALANCE,-0.328238,0.4924343,1.865772
BALANCE,-0.3193811,0.4867223,1.877135
BALANCE,-0.315436,0.4864601,1.888027
BALANCE,-0.313625,0.4870287,1.899107
BALANCE,-0.3126304,0.4922826,1.910267
BALANCE,-0.3119265,0.4923539,1.921475
BALANCE,-0.3133989,0.4945709,1.93239
BALANCE,-0.3150561,0.4903984,1.943737
BALANCE,-0.3150108,0.4954551,1.954772
BALANCE,-0.3134438,0.4973011,1.965834
BALANCE,-0.3113304,0.4950316,1.977157
BALANCE,-0.3118007,0.490152,1.988144
BALANCE,-0.3133925,0.4942167,1.999168
BALANCE,-0.3125724,0.5009568,2.010113
BALANCE,-0.3112931,0.5026942,2.021359
BALANCE,-0.3094707,0.4987932,2.03239
BALANCE,-0.3404983,0.4878039,2.04346
BALANCE,-0.3730749,0.5408694,2.054991
BALANCE,-0.4718333,0.6240032,2.06588
BALANCE,-0.7726238,0.5362148,2.076937
BALANCE,-0.8714452,0.5146239,2.088077
BALANCE,-0.8863589,0.5084677,2.099147
BALANCE,-0.824034,0.5307153,2.110316
BALANCE,-0.8409345,0.5357999,2.121419
BALANCE,-0.8376263,0.523744,2.132509
BALANCE,-0.8407418,0.5149944,2.143426
BALANCE,-0.8792145,0.5120963,2.154683
BALANCE,-0.8907456,0.5159678,2.165656
BALANCE,-0.8908039,0.5112793,2.176794
BALANCE,-0.8913712,0.5137945,2.188064
BALANCE,-0.8890983,0.5087038,2.199091
BALANCE,-0.8876424,0.5083669,2.210103
BALANCE,-0.8879938,0.5083322,2.221128
BALANCE,-0.8864533,0.5043553,2.232196
BALANCE,-0.8859065,0.5045004,2.24336
BALANCE,-0.8828378,0.5021265,2.25461
BALANCE,-0.8800328,0.5018399,2.265548
BALANCE,-0.8804308,0.5028306,2.276771
BALANCE,-0.8785945,0.5006938,2.288213
BALANCE,-0.887306,0.5116842,2.299184
BALANCE,-0.8040619,0.5278381,2.310506
BALANCE,-0.4032199,0.7471789,2.324922
BALANCE,-0.4045796,0.7478089,2.332164
BALANCE,-0.02540839,0.8028883,2.343277
BALANCE,-0.09891802,0.7704363,2.354622
BALANCE,-0.08179212,0.767419,2.36565
BALANCE,-0.08643818,0.7696676,2.376647
BALANCE,-0.08312446,0.7831079,2.387871
BALANCE,-0.07977396,0.795987,2.399106
BALANCE,-0.0863446,0.7979482,2.410012
BALANCE,-0.09476459,0.8051388,2.421273
BALANCE,-0.09475607,0.8041547,2.432468
BALANCE,-0.1059407,0.8132513,2.443375
BALANCE,-0.1021851,0.8049005,2.45451
BALANCE,-0.09399623,0.7988212,2.465594
BALANCE,-0.08553696,0.7950515,2.476619
BALANCE,-0.0858258,0.7918888,2.488044
BALANCE,-0.08331299,0.7911522,2.498863
BALANCE,-0.08494371,0.7908658,2.511164
BALANCE,-0.0941565,0.7931207,2.521041
BALANCE,-0.1010399,0.7933144,2.532305
BALANCE,-0.09919715,0.787839,2.543324
BALANCE,-0.0982722,0.7892018,2.554833
BALANCE,-0.09490085,0.7866573,2.565642
BALANCE,-0.09645838,0.7849002,2.576665
BALANCE,-0.09667665,0.783773,2.58776
BALANCE,-0.09776282,0.7843593,2.59884
BALANCE,-0.08873463,0.7831215,2.609993
BALANCE,-0.07615763,0.7844861,2.621167
BALANCE,-0.07501394,0.7899051,2.63218
BALANCE,-0.08072573,0.7952727,2.643243
BALANCE,-0.08281028,0.7946627,2.654505
BALANCE,0.04297864,0.8022426,2.665408
BALANCE,0.2488135,0.8784204,2.676585
BALANCE,0.2265887,0.8693311,2.687623
BALANCE,0.1894568,0.8863965,2.698745
BALANCE,0.1969817,0.8844039,2.709886
BALANCE,0.2223,0.8728901,2.720982
BALANCE,0.2392409,0.8668166,2.732144
BALANCE,0.2025285,0.8653682,2.743114
BALANCE,0.2106119,0.8662227,2.754413
BALANCE,0.2168515,0.8595455,2.76539
BALANCE,0.219508,0.8539232,2.776499
BALANCE,0.2224161,0.8550262,2.787554
BALANCE,0.2279184,0.8584179,2.798785
BALANCE,0.2280999,0.8582589,2.809812
BALANCE,0.229019,0.8576669,2.820957
BALANCE,0.2250772,0.8516287,2.831977
BALANCE,0.2158605,0.843224,2.843068
BALANCE,0.2111745,0.8388612,2.854256
BALANCE,0.2138693,0.8375251,2.865293
BALANCE,0.2127317,0.8376399,2.876471
BALANCE,0.2144459,0.83757,2.887567
BALANCE,0.2118644,0.83767,2.898693
BALANCE,0.2125159,0.8473618,2.909987
BALANCE,0.2082492,0.8290102,2.921034
BALANCE,0.2046117,0.8303242,2.932044
BALANCE,0.207782,0.8457348,2.943177
BALANCE,0.2010729,0.8436403,2.95441
BALANCE,0.1955557,0.8416795,2.965451
BALANCE,0.1960188,0.8391992,2.977021
BALANCE,0.1861874,0.8387288,2.987756
BALANCE,0.172759,0.8361942,2.998954
BALANCE,0.1852585,0.8314768,3.009765
BALANCE,0.2097354,0.8144655,3.020916
BALANCE,0.1825868,0.8065082,3.03222
BALANCE,0.1755319,0.7961069,3.043214
BALANCE,0.193741,0.7843814,3.054301
BALANCE,0.1966932,0.7857974,3.06536
BALANCE,0.196265,0.8003455,3.076429
BALANCE,0.1955482,0.8115901,3.087683
BALANCE,0.2022728,0.8233647,3.098746
BALANCE,0.1839389,0.8050603,3.109858
BALANCE,0.2011197,0.8133945,3.120684
BALANCE,0.2059445,0.8343177,3.131966
BALANCE,0,0,3.143213
BALANCE,0,0,3.154136
BALANCE,0,0,3.165319
BALANCE,0,0,3.176474
BALANCE,0,0,3.18746
BALANCE,0,0,3.19863
BALANCE,0,0,3.209551
BALANCE,0,0,3.220884
BALANCE,0,0,3.231967
BALANCE,0,0,3.242854
BALANCE,0,0,3.254082
BALANCE,0,0,3.265306
BALANCE,0,0,3.276346
BALANCE,0,0,3.287453
BALANCE,0,0,3.298573
BALANCE,0,0,3.309591
BALANCE,0,0,3.320651
BALANCE,0,0,3.331782
BALANCE,0,0,3.342812
BALANCE,0,0,3.354058
BALANCE,0,0,3.365094
BALANCE,0,0,3.376362
BALANCE,0,0,3.387541
BALANCE,0,0,3.398393
BALANCE,-0.435184,-0.4402246,3.409535
BALANCE,-0.3782642,-0.4731652,3.420852
BALANCE,-0.4301397,-0.5101896,3.431829
BALANCE,-0.369206,-0.3915496,3.442779
BALANCE,-0.3895456,-0.5269482,3.454067
BALANCE,-0.3571184,-0.5293219,3.465037
BALANCE,-0.3630594,-0.5147395,3.476104
BALANCE,-0.3843108,-0.4488268,3.487307
BALANCE,-0.3324999,-0.5251167,3.498494
BALANCE,-0.3746999,-0.5060263,3.509724
BALANCE,-0.341335,-0.5556772,3.520502
BALANCE,-0.3515894,-0.5576207,3.531968
BALANCE,-0.3960269,-0.577041,3.543366
BALANCE,-0.3548748,-0.5123707,3.554342
BALANCE,-0.3515263,-0.5894985,3.565312
BALANCE,-0.3833295,-0.5294539,3.576178
BALANCE,-0.3409745,-0.4885615,3.587388
BALANCE,-0.3402417,-0.4918067,3.598356
BALANCE,-0.3312688,-0.5854276,3.60947
BALANCE,-0.3604852,-0.5541245,3.620505
BALANCE,-0.3321711,-0.5120398,3.63177
BALANCE,-0.2815903,-0.5416735,3.64277
BALANCE,-0.2916194,-0.5636035,3.654011
BALANCE,-0.2775425,-0.5636885,3.665091
BALANCE,-0.2131187,-0.5930191,3.676086
BALANCE,-0.2108169,-0.5990336,3.687362
BALANCE,-0.1946313,-0.6091308,3.698344
BALANCE,-0.182516,-0.60292,3.709337
BALANCE,-0.1833297,-0.6120529,3.720566
BALANCE,-0.195352,-0.6010252,3.731657
BALANCE,-0.1643655,-0.6105466,3.742829
BALANCE,-0.1484808,-0.6178665,3.753833
BALANCE,-0.1443269,-0.6167408,3.764982
BALANCE,-0.1440961,-0.6141526,3.776134
BALANCE,-0.1403643,-0.6099704,3.787267
BALANCE,-0.1327978,-0.6162702,3.798276
BALANCE,-0.2571702,-0.5364491,3.809242
BALANCE,-0.2978852,-0.5127398,3.820465
