,word,count,log_count
217,enrichment,48,3.871201010907891
218,plant,680,6.522092798170152
219,installing,48,3.871201010907891
220,all,30252,10.31731757697592
221,built,1037,6.9440872082295275
222,also,10660,9.274253697719836
223,showed,887,6.787844982309579
224,sensitive,297,5.6937321388027
225,material,657,6.48768401848461
226,relatively,423,6.0473721790462776
227,quickly,1147,7.044905117129371
228,processed,93,4.532599493153256
229,further,1248,7.129297548929373
230,grade,674,6.513230110912307
231,grown,526,6.26530121273771
232,getting,2960,7.992944547318106
233,closer,546,6.302618975744905
234,amount,958,6.86484777797086
235,sufficient,246,5.5053315359323625
236,satellite,156,5.049856007249537
237,photographs,236,5.4638318050256105
238,show,3661,8.205491613120236
239,worked,1431,7.266128779556451
240,months,2074,7.637234388789473
241,alter,122,4.804021044733257
242,long,6248,8.740016691519521
243,suspected,154,5.0369526024136295
244,economic,1712,7.445417556701687
245,woes,31,3.4339872044851463
246,deepened,21,3.044522437723423
247,drum,92,4.5217885770490405
248,interest,1579,7.364547014255642
249,called,3701,8.216358332386156
250,nine,778,6.656726524178391
251,step,1287,7.160069207596127
252,plan,1795,7.492760300922379
253,crisis,640,6.461468176353717
254,gradually,175,5.1647859739235145
255,easiest,70,4.248495242049359
256,them,15922,9.675457079648524
257,convert,94,4.543294782270004
258,requires,557,6.322565239927284
259,so,27507,10.22219579671801
260,many,8689,9.069813136839207
261,concessions,54,3.9889840465642745
262,starting,957,6.863803391452954
263,are,47246,10.763123273253704
264,blocking,102,4.624972813284271
265,sales,633,6.450470422144176
266,off,7931,8.97853441008332
267,collapse,227,5.424950017481403
268,currency,140,4.941642422609304
269,dismissed,121,4.795790545596741
270,as,51304,10.845524000828698
271,began,1681,7.427144133408616
272,made,6638,8.80056599227992
273,little,6920,8.842171048611716
274,progress,519,6.251903883165888
275,abandoned,224,5.4116460518550396
276,revolution,322,5.7745515455444085
277,brought,1387,7.234898420314831
278,power,2822,7.945201132412759
279,hard,3130,8.048788283534199
